system:index,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
0_0,4,6,12,17,17,5,1,12,2,6,6,4
1_0,40,1,99,94,100,1,5,77,16,68,28,4
2_0,39,1,125,102,98,0,5,70,17,58,28,2
3_0,26,13,51,61,60,13,1,50,10,28,16,13
4_0,44,10,107,96,118,8,18,86,40,94,47,16
5_0,3,13,11,14,13,8,1,9,1,5,7,8
6_0,22,1,48,51,60,0,1,41,7,35,14,3
7_0,29,1,62,59,67,1,2,51,10,44,19,4
8_0,25,2,47,52,58,2,2,45,8,37,12,4
9_0,21,1,45,46,53,0,1,41,7,28,12,3
10_0,1,13,10,11,11,6,0,6,2,4,7,9
11_0,27,10,54,35,43,8,20,36,31,46,32,13
12_0,32,10,49,39,44,9,22,41,38,45,31,16
13_0,17,1,43,61,60,1,1,38,4,25,10,4
14_0,70,8,133,127,149,6,18,117,45,115,57,19
15_0,5,12,13,16,13,10,1,12,3,6,8,7
16_0,16,1,33,39,45,2,1,33,6,19,8,3
17_0,47,2,109,106,118,2,4,89,15,74,33,5
18_0,32,2,85,81,92,1,3,63,12,54,25,4
19_0,23,16,48,58,56,14,1,47,9,28,15,11
20_0,1,14,11,11,12,7,0,6,2,4,8,8
21_0,13,4,30,32,35,3,2,29,6,20,9,5
22_0,6,12,22,22,22,8,1,14,3,10,8,8
23_0,20,3,48,61,57,5,1,40,7,28,13,7
24_0,27,9,58,51,57,8,16,48,31,50,29,13
25_0,2,13,9,11,10,7,0,6,2,3,6,8
26_0,59,10,102,100,118,10,18,95,38,86,44,19
27_0,34,2,81,78,87,1,2,61,11,52,26,3
28_0,26,3,48,62,57,3,2,47,9,30,14,6
29_0,18,5,33,26,29,6,12,24,23,27,18,7
30_0,3,10,12,13,13,9,1,7,2,6,6,7
31_0,94,7,232,174,206,2,16,171,44,174,88,19
32_0,79,3,142,136,155,1,8,125,31,108,46,9
33_0,56,10,98,102,118,12,17,94,34,83,43,19
34_0,37,2,86,82,92,1,3,65,12,55,25,3
35_0,16,2,38,54,51,2,1,40,5,23,11,4
36_0,26,1,65,75,82,3,1,60,7,37,17,4
37_0,33,9,68,58,65,7,19,55,33,61,36,15
38_0,17,6,37,42,44,4,2,36,7,27,11,7
39_0,35,3,60,57,68,2,2,61,14,38,18,6
40_0,2,8,9,10,10,3,0,6,1,2,4,4
41_0,54,1,114,108,114,2,5,97,21,86,36,5
42_0,54,3,157,146,163,1,6,114,21,104,47,7
43_0,29,9,38,28,32,7,20,33,37,36,26,14
44_0,15,2,38,51,50,2,1,38,4,23,10,4
45_0,100,7,221,197,224,4,22,177,62,174,79,21
46_0,71,13,161,122,142,8,24,122,47,137,77,23
47_0,24,12,57,56,71,13,15,48,26,50,28,14
48_0,8,0,49,35,57,5,0,48,11,21,11,4
49_0,54,2,169,156,182,1,6,117,22,105,46,7
50_0,58,0,156,124,149,1,7,109,24,69,45,12
51_0,57,8,84,90,98,11,8,90,26,57,28,12
52_0,81,11,184,154,179,5,25,143,54,150,76,22
53_0,96,12,272,186,237,5,25,187,56,221,115,29
54_0,7,7,13,19,17,6,3,13,5,10,7,7
55_0,28,9,70,64,75,7,13,56,29,64,34,13
56_0,2,14,11,11,11,8,0,6,5,4,7,11
57_0,30,25,52,57,67,30,18,52,23,41,23,23
58_0,3,14,13,17,16,9,1,10,3,6,10,9
59_0,19,7,39,33,38,7,13,29,25,33,21,9
60_0,8,7,7,12,9,6,3,9,9,8,9,7
61_0,81,8,181,152,170,5,23,143,45,142,72,22
62_0,31,11,80,74,93,11,16,60,28,69,36,17
63_0,8,10,16,24,21,7,2,17,4,10,9,5
64_0,31,1,92,90,101,1,2,67,12,58,25,4
65_0,29,7,58,69,64,7,2,54,11,35,16,8
66_0,104,10,277,189,233,3,23,196,54,209,102,26
67_0,112,14,273,187,234,6,27,197,63,215,111,31
68_0,42,1,70,75,85,0,3,74,16,45,23,4
69_0,68,4,187,152,182,1,9,133,28,126,57,10
70_0,57,11,124,112,135,8,19,105,46,107,53,19
71_0,27,8,53,65,59,8,2,51,10,32,15,8
72_0,6,3,19,22,24,2,1,16,2,12,5,3
73_0,95,8,239,163,196,4,22,174,46,175,84,21
74_0,27,2,59,58,70,1,1,51,8,41,16,3
75_0,30,1,60,63,70,1,1,54,10,42,18,3
76_0,22,1,48,49,58,1,1,42,7,34,14,3
77_0,2,7,14,17,16,4,1,9,1,5,5,4
78_0,5,7,15,23,23,5,1,16,3,9,7,4
79_0,22,8,51,48,59,8,3,42,12,35,16,8
80_0,51,13,85,85,99,16,11,80,28,59,28,15
81_0,49,1,126,110,118,1,6,95,22,92,36,6
82_0,34,13,70,68,82,13,18,62,34,63,35,17
83_0,21,18,35,35,43,21,12,32,17,30,15,16
84_0,26,14,59,66,66,12,2,58,11,34,17,11
85_0,7,3,32,31,38,11,0,23,5,12,6,1
86_0,17,1,28,35,37,1,1,32,5,16,7,3
87_0,107,10,271,185,228,4,23,191,51,198,96,25
88_0,33,9,42,31,37,8,22,36,39,41,29,14
89_0,27,1,45,48,53,1,1,49,10,28,14,3
90_0,6,1,38,30,62,17,0,42,6,14,8,2
91_0,29,1,57,72,78,3,2,59,8,37,15,5
92_0,66,10,180,137,165,5,19,125,40,146,72,18
93_0,31,2,82,78,88,1,3,61,11,52,24,3
94_0,5,0,24,20,45,4,3,50,4,10,8,10
95_0,26,1,52,54,63,1,1,45,8,39,15,3
96_0,96,8,233,161,195,2,21,170,48,175,88,23
97_0,18,1,37,39,46,1,1,36,7,21,10,3
98_0,69,3,173,135,189,2,6,116,13,91,96,15
99_0,70,13,167,122,147,6,22,119,46,138,79,22
100_0,25,1,54,64,69,3,1,54,6,33,14,4
101_0,5,18,14,20,17,13,1,13,4,7,11,11
102_0,93,9,238,170,207,4,20,167,47,178,93,23
103_0,39,10,110,77,96,9,18,63,31,87,49,14
104_0,19,3,42,52,48,4,1,34,8,21,13,3
105_0,26,14,57,57,71,15,17,50,27,51,28,15
106_0,45,1,118,105,112,2,6,89,21,87,35,6
107_0,33,9,61,75,70,7,2,63,13,38,17,9
108_0,37,2,108,106,117,1,3,79,14,71,29,5
109_0,55,9,81,92,103,13,13,86,31,65,34,18
110_0,24,10,50,46,52,10,15,40,29,43,26,12
111_0,2,6,12,13,13,3,0,7,1,4,5,4
112_0,29,10,65,56,65,8,17,52,34,56,33,14
113_0,2,11,13,12,12,8,0,6,2,5,6,6
114_0,62,9,159,132,155,4,18,112,35,126,59,17
115_0,5,8,15,23,22,6,1,14,3,9,10,4
116_0,38,1,76,73,80,1,2,63,13,55,22,3
117_0,26,1,65,76,83,3,1,60,7,36,16,4
118_0,5,5,9,15,13,4,2,10,3,6,6,6
119_0,7,18,19,21,19,15,2,14,3,11,12,9
120_0,61,1,103,106,117,1,6,102,22,72,33,8
121_0,66,3,179,154,168,1,8,129,26,119,55,10
122_0,2,1,26,20,28,4,1,18,2,10,0,3
123_0,24,1,50,53,59,0,1,47,8,33,14,3
124_0,1,14,10,11,11,7,1,7,2,4,7,9
125_0,21,8,22,16,20,8,18,20,31,24,19,11
126_0,22,19,47,56,55,16,1,46,8,27,15,15
127_0,12,14,35,37,39,10,1,26,5,19,11,11
128_0,39,2,119,112,121,1,4,81,15,80,33,6
129_0,82,6,205,169,198,4,20,151,42,150,73,22
130_0,28,6,54,66,61,6,2,51,10,34,15,7
131_0,4,6,11,18,17,4,1,12,3,5,9,3
132_0,72,5,167,140,160,3,17,125,47,131,63,15
133_0,10,3,24,29,30,3,1,24,4,15,7,3
134_0,13,12,22,25,28,17,8,19,13,19,10,11
135_0,37,15,61,47,50,11,27,54,42,57,42,18
136_0,16,14,30,27,33,16,12,27,19,24,15,10
137_0,3,15,11,12,13,9,1,9,2,5,8,9
138_0,62,2,133,119,127,1,7,108,24,101,42,7
139_0,29,2,61,63,72,1,1,58,8,43,17,5
140_0,4,10,17,17,17,8,0,10,2,8,7,7
141_0,4,4,9,15,13,4,1,9,3,6,6,4
142_0,11,3,36,42,40,7,1,23,7,12,10,2
143_0,73,6,201,164,192,2,11,138,30,143,64,13
144_0,5,6,12,18,15,5,1,11,3,6,8,4
145_0,78,12,244,166,223,6,21,158,46,197,95,23
146_0,22,9,41,32,39,8,17,30,29,35,25,13
147_0,13,8,17,21,21,10,4,16,11,16,13,9
148_0,5,17,15,19,18,12,1,13,3,8,10,10
149_0,71,2,122,119,132,1,7,111,27,91,40,7
150_0,9,0,35,25,53,9,0,53,5,12,14,4
151_0,3,5,10,13,12,5,1,8,2,5,5,4
152_0,43,12,100,87,110,9,18,78,36,81,44,18
153_0,56,3,170,152,179,1,6,112,19,113,49,9
154_0,58,13,129,115,144,10,21,106,44,105,55,21
155_0,20,15,50,49,59,18,16,41,22,43,22,14
156_0,51,14,100,100,121,15,21,92,42,87,46,20
157_0,77,5,208,167,195,2,11,153,32,144,69,14
158_0,6,2,16,19,22,2,1,14,1,11,5,3
159_0,20,4,120,87,79,0,5,43,20,49,21,6
160_0,82,6,193,163,184,2,18,151,42,138,65,21
161_0,3,15,12,15,15,9,1,10,3,6,9,10
162_0,22,17,46,43,52,21,18,37,24,40,22,14
163_0,6,8,14,20,19,8,2,11,3,9,8,4
164_0,70,3,112,123,135,4,12,115,34,92,45,14
165_0,19,15,40,39,46,20,17,34,22,35,19,13
166_0,51,5,121,106,121,2,13,89,28,90,42,12
167_0,3,7,11,13,12,6,1,8,2,6,6,6
168_0,35,2,74,75,86,1,1,69,9,51,19,4
169_0,2,15,12,12,13,7,1,7,5,4,8,10
170_0,35,1,64,65,73,1,3,63,13,38,19,4
171_0,25,1,44,47,53,1,1,46,9,27,14,3
172_0,36,2,88,84,100,1,2,69,11,59,25,4
173_0,81,8,173,140,153,3,20,135,45,133,67,21
174_0,6,0,45,28,59,13,0,41,9,16,9,2
175_0,12,11,20,19,22,13,10,15,16,16,11,8
176_0,35,8,62,49,53,5,19,54,35,52,36,14
177_0,31,2,71,70,79,1,3,58,11,48,23,3
178_0,26,10,39,29,32,8,19,33,31,35,27,12
179_0,29,14,63,63,80,17,14,55,21,50,26,16
180_0,4,4,9,14,12,4,1,8,3,5,6,4
181_0,50,1,128,112,120,1,7,97,22,92,37,7
182_0,42,1,67,71,78,1,2,72,16,44,22,5
183_0,3,5,11,17,17,4,1,10,2,5,9,3
184_0,48,1,83,85,97,1,5,80,20,54,27,7
185_0,16,2,41,54,43,4,1,28,10,18,15,2
186_0,20,8,28,20,24,7,18,21,28,26,20,11
187_0,28,16,52,55,70,25,15,49,21,41,20,15
188_0,32,2,104,102,116,1,4,73,14,67,26,5
189_0,33,2,97,91,113,1,3,62,29,39,29,10
190_0,33,25,62,68,68,21,2,59,12,43,18,16
191_0,45,1,83,85,90,1,2,78,16,56,26,4
192_0,86,5,191,169,187,3,17,152,48,148,68,17
193_0,22,1,45,46,53,0,1,42,8,28,13,3
194_0,40,15,86,81,102,14,19,71,36,75,40,19
195_0,21,1,45,47,54,0,1,41,7,29,12,3
196_0,7,3,18,22,24,2,1,17,2,12,5,3
197_0,76,10,207,159,187,4,19,141,41,160,79,20
198_0,37,11,70,57,65,9,23,55,39,61,39,18
199_0,23,5,49,63,59,7,1,45,8,28,14,8
200_0,66,10,147,133,160,8,21,123,52,124,60,20
201_0,27,4,100,86,89,0,3,56,12,53,18,3
202_0,34,11,44,34,38,7,21,40,37,40,30,14
203_0,26,9,56,53,63,10,6,48,17,36,18,9
204_0,16,1,27,33,36,1,1,32,5,15,7,3
205_0,79,3,147,137,153,2,9,127,34,117,52,11
206_0,38,2,81,83,94,1,2,70,11,59,25,4
207_0,26,9,52,43,50,7,17,41,31,47,29,13
208_0,32,2,98,91,99,1,4,65,13,66,27,5
209_0,19,1,33,37,40,0,1,37,6,18,9,2
210_0,7,4,15,19,19,4,1,13,5,11,8,5
211_0,2,11,12,12,12,7,1,7,2,5,7,6
212_0,4,15,11,17,14,10,1,10,3,5,8,10
213_0,127,14,326,222,282,5,29,233,67,251,125,33
214_0,100,6,218,187,211,3,20,169,58,171,77,19
215_0,24,1,39,49,51,1,2,46,7,26,10,5
216_0,69,2,111,121,132,3,8,113,30,81,39,12
217_0,6,5,9,15,13,5,2,9,4,8,7,5
218_0,5,16,13,19,17,11,1,13,3,7,10,10
219_0,18,15,51,52,54,13,1,35,7,28,14,12
220_0,33,11,54,43,50,9,23,43,39,49,33,16
221_0,33,1,83,87,97,3,1,69,8,50,21,5
222_0,32,2,100,91,104,1,4,66,13,69,27,5
223_0,33,13,37,28,33,11,27,33,42,38,29,16
224_0,25,1,56,60,66,1,1,54,7,35,14,3
225_0,59,13,143,113,136,10,25,102,42,125,66,20
226_0,61,5,158,130,147,2,12,113,30,117,54,12
227_0,1,13,10,10,12,7,1,6,2,4,6,8
228_0,40,11,90,62,77,10,22,56,34,72,43,15
229_0,27,11,46,33,37,10,22,36,32,40,30,13
230_0,88,12,173,142,153,4,25,142,54,138,73,25
231_0,37,10,82,71,85,9,19,67,37,71,39,15
232_0,4,8,14,15,14,6,1,9,2,7,6,5
233_0,99,7,240,194,236,2,20,177,49,179,80,19
234_0,29,14,58,67,66,13,1,55,11,34,18,14
235_0,28,1,64,76,84,2,1,63,6,37,17,5
236_0,1,1,19,16,29,5,1,14,1,8,1,1
237_0,44,9,92,76,85,5,21,78,39,78,50,17
238_0,14,1,27,34,39,1,1,30,4,15,7,2
239_0,41,6,71,79,88,9,12,71,26,59,32,13
240_0,38,2,108,99,117,0,3,71,30,47,34,7
241_0,26,2,57,61,67,1,1,55,8,36,14,4
242_0,36,1,70,71,79,1,1,61,12,53,21,3
243_0,9,6,20,22,23,6,2,18,8,14,9,5
244_0,35,3,97,91,99,1,7,71,20,65,27,6
245_0,39,1,83,79,87,1,2,70,14,57,25,4
246_0,31,2,93,87,95,1,4,65,13,65,25,5
247_0,54,7,145,115,129,3,15,101,31,111,55,15
248_0,19,2,44,63,61,2,1,43,5,26,11,5
249_0,22,8,51,42,48,6,14,38,27,42,27,11
250_0,7,20,15,22,18,15,1,15,3,8,10,12
251_0,5,15,14,19,17,11,1,12,3,7,10,9
252_0,9,6,22,26,26,6,2,21,7,15,9,6
253_0,18,1,39,40,48,1,1,35,7,23,11,3
254_0,30,2,84,83,93,1,3,61,11,54,23,3
255_0,30,9,35,26,30,9,22,30,39,34,26,14
256_0,5,6,12,18,16,5,1,10,3,7,8,4
257_0,26,3,54,74,72,3,1,52,7,36,13,5
258_0,19,7,44,36,44,7,13,31,25,36,23,9
259_0,26,1,43,45,50,0,2,48,10,28,13,3
260_0,27,12,57,64,64,12,1,51,10,33,16,11
261_0,33,2,86,83,93,1,3,64,11,56,25,4
262_0,19,2,42,56,55,2,1,44,7,29,12,5
263_0,15,1,30,35,41,1,1,32,6,17,8,3
264_0,74,14,190,139,171,7,23,130,48,156,84,23
265_0,3,6,11,16,14,5,1,10,1,6,6,4
266_0,3,9,15,13,13,8,0,6,2,6,6,6
267_0,9,8,9,16,13,7,4,12,7,9,9,7
268_0,27,1,65,72,79,2,1,58,8,39,16,4
269_0,18,7,39,40,44,6,3,35,10,27,13,7
270_0,32,2,96,90,97,1,5,65,18,64,27,5
271_0,5,9,18,22,21,7,1,15,2,9,7,6
272_0,1,14,10,11,11,7,1,6,2,4,7,9
273_0,9,29,18,24,21,23,2,18,4,10,13,14
274_0,33,2,73,71,81,1,3,59,12,50,24,3
275_0,37,1,77,73,81,1,2,64,13,54,23,4
276_0,4,6,11,17,16,4,1,12,3,5,9,4
277_0,50,14,112,76,96,11,25,72,41,93,53,19
278_0,33,20,63,73,73,16,2,63,11,39,19,16
279_0,59,3,169,157,172,1,6,121,22,106,47,8
280_0,44,2,100,98,114,2,3,86,12,68,27,5
281_0,4,11,15,15,14,8,1,9,2,7,7,7
282_0,40,9,71,57,62,6,21,63,38,58,38,15
283_0,5,3,15,19,19,3,1,13,1,10,5,3
284_0,28,1,75,69,78,1,3,51,11,46,21,3
285_0,46,0,124,107,135,2,4,91,20,47,37,14
286_0,32,2,92,87,92,1,6,66,20,68,26,5
287_0,10,14,30,31,33,10,1,24,4,17,11,11
288_0,13,1,38,48,51,1,0,29,4,19,9,3
289_0,33,1,85,87,99,2,1,67,9,51,20,4
290_0,58,1,145,125,150,3,10,116,22,86,59,12
291_0,58,3,165,152,174,1,7,117,21,113,48,8
292_0,138,17,322,223,275,6,34,246,75,254,136,38
293_0,29,1,63,63,73,1,1,52,8,45,19,3
294_0,33,10,45,34,39,7,20,38,37,40,29,14
295_0,26,9,29,21,27,9,22,26,37,30,23,14
296_0,29,17,50,56,67,23,15,52,21,39,23,17
297_0,7,4,19,24,25,3,1,19,3,13,6,4
298_0,19,6,32,24,28,6,15,23,25,27,18,9
299_0,7,6,17,22,21,5,1,17,5,11,8,6
300_0,2,12,13,12,12,10,0,6,1,5,7,6
301_0,16,1,30,37,42,1,1,33,5,18,7,3
302_0,59,6,97,99,111,8,15,94,34,84,43,15
303_0,24,2,42,64,58,2,1,48,7,29,11,5
304_0,2,8,12,12,12,7,0,6,2,5,6,5
305_0,31,3,53,63,67,4,2,54,10,41,15,7
306_0,6,4,17,18,19,3,1,13,2,9,5,3
307_0,23,13,44,45,51,13,6,40,14,32,17,12
308_0,50,2,145,134,150,1,5,99,19,92,41,8
309_0,13,13,30,30,36,16,12,26,15,26,14,11
310_0,99,14,266,182,239,7,26,179,57,216,111,29
311_0,2,14,9,10,9,8,1,5,4,3,7,11
312_0,128,15,316,215,272,5,30,234,69,248,125,34
313_0,7,23,17,20,18,19,1,14,3,9,12,11
314_0,75,5,131,130,146,5,15,120,40,108,52,16
315_0,42,3,88,86,101,1,3,74,12,66,28,5
316_0,2,15,11,12,12,8,1,8,5,4,8,11
317_0,136,16,338,233,293,6,33,246,73,263,138,36
318_0,34,1,63,80,82,1,2,68,8,41,16,5
319_0,13,3,82,49,73,0,3,37,12,32,12,3
320_0,29,9,56,46,52,7,19,42,33,50,31,14
321_0,77,12,198,144,173,5,22,140,45,159,84,22
322_0,8,3,32,32,38,11,1,23,5,13,6,2
323_0,9,8,14,16,18,12,5,12,11,13,9,7
324_0,39,2,129,122,108,0,5,78,21,61,33,2
325_0,38,3,106,96,105,1,7,76,22,72,29,6
326_0,22,1,31,40,41,1,2,39,8,21,10,4
327_0,100,9,250,170,210,4,23,182,51,186,94,24
328_0,29,1,76,80,89,2,1,62,8,45,18,4
329_0,3,14,17,16,16,10,2,10,3,7,8,9
330_0,61,4,165,136,151,2,11,113,27,115,53,11
331_0,12,13,22,20,22,14,10,16,16,17,11,9
332_0,22,3,43,54,55,2,1,44,7,33,12,5
333_0,21,0,37,40,46,0,1,38,7,21,11,3
334_0,9,8,19,24,23,8,2,19,7,13,11,6
335_0,63,7,147,123,144,3,19,116,42,123,61,16
336_0,71,6,176,148,169,3,16,131,35,128,56,16
337_0,11,12,20,21,25,15,9,17,13,16,9,9
338_0,58,1,144,125,131,1,8,112,26,107,43,8
339_0,4,10,20,19,20,7,1,12,2,10,7,6
340_0,70,2,118,116,126,1,7,111,27,89,40,7
341_0,6,8,14,21,19,6,1,14,4,8,9,4
342_0,47,2,136,128,137,1,5,93,18,88,39,7
343_0,32,11,59,75,70,8,2,64,13,38,18,10
344_0,12,13,31,30,35,15,12,23,16,26,14,11
345_0,54,5,81,88,100,9,7,87,24,56,25,9
346_0,25,16,49,49,59,20,14,47,20,37,22,16
347_0,80,11,161,129,142,4,23,129,50,128,67,24
348_0,21,2,48,70,69,2,1,44,5,33,11,4
349_0,46,0,124,106,134,2,4,88,23,47,35,14
350_0,1,10,9,9,9,4,0,6,1,2,5,5
351_0,33,4,66,88,83,5,1,64,11,43,18,9
352_0,23,2,36,37,43,1,1,43,9,25,10,3
353_0,24,2,57,73,75,2,1,50,6,32,14,5
354_0,104,9,274,197,239,4,20,192,49,204,96,22
355_0,25,9,43,33,39,8,19,33,32,38,27,15
356_0,67,4,194,167,194,1,8,132,24,125,57,11
357_0,26,2,37,45,47,1,2,47,9,27,12,4
358_0,14,2,82,54,78,0,4,39,14,37,12,3
359_0,76,5,217,168,208,2,11,150,32,152,72,15
360_0,77,9,148,124,136,5,24,128,50,119,65,23
361_0,5,0,24,21,49,7,4,51,5,11,11,11
362_0,49,10,101,84,98,7,23,83,40,91,52,19
363_0,32,2,67,69,80,1,1,63,9,52,20,5
364_0,8,25,17,20,18,21,2,16,4,10,12,14
365_0,15,1,28,33,39,1,1,30,4,15,7,2
366_0,6,7,13,19,17,6,1,11,3,8,8,4
367_0,22,6,48,49,56,3,2,43,10,35,13,7
368_0,3,9,14,16,15,7,2,11,2,7,7,7
369_0,3,7,14,17,16,4,1,9,1,6,5,4
370_0,37,1,86,85,98,1,2,70,12,56,25,3
371_0,50,3,132,116,128,1,10,99,25,88,38,8
372_0,34,1,70,66,73,1,2,58,11,50,21,4
373_0,1,9,9,10,10,4,0,6,1,2,5,5
374_0,3,10,10,13,12,7,1,8,1,5,7,7
375_0,31,2,88,82,86,1,5,62,16,67,25,5
376_0,29,5,55,68,62,5,2,57,12,35,16,7
377_0,8,10,23,27,28,7,1,17,3,11,8,8
378_0,80,4,190,162,183,2,14,147,38,140,61,13
379_0,55,1,101,99,111,1,5,88,20,72,32,6
380_0,9,23,21,22,20,19,2,17,4,13,13,13
381_0,30,1,83,79,90,1,2,58,11,52,23,3
382_0,16,1,31,37,42,1,1,32,5,17,7,3
383_0,28,9,54,68,67,10,1,51,10,31,16,9
384_0,8,11,26,29,30,9,1,21,3,14,9,7
385_0,86,9,229,160,198,3,20,158,45,173,90,22
386_0,16,1,28,34,37,1,1,32,5,15,7,2
387_0,23,3,41,41,48,2,2,45,10,29,12,4
388_0,3,13,12,13,14,7,1,8,5,5,8,10
389_0,23,4,47,51,54,2,2,45,8,34,12,6
390_0,41,2,91,88,101,1,3,77,10,62,23,5
391_0,27,9,49,65,63,10,1,51,10,28,15,9
392_0,9,27,18,23,19,22,2,18,4,10,13,14
393_0,25,8,31,23,30,8,21,26,36,32,23,12
394_0,35,2,68,65,73,1,1,57,11,50,19,3
395_0,3,5,11,18,17,4,1,10,2,6,8,3
396_0,25,1,42,45,50,0,1,45,9,26,13,3
397_0,2,16,10,13,12,8,1,8,4,4,7,10
398_0,74,6,205,157,196,1,13,139,35,149,74,16
399_0,65,2,123,118,128,1,6,111,25,94,42,7
400_0,33,2,61,73,79,2,1,67,8,40,17,7
401_0,24,7,51,60,57,6,2,48,10,31,14,6
402_0,18,9,38,40,45,10,4,35,11,28,14,9
403_0,24,1,39,42,46,0,1,44,8,23,12,3
404_0,30,2,87,80,94,1,3,59,11,55,24,4
405_0,51,6,123,105,120,3,14,89,28,93,44,13
406_0,2,15,9,12,11,7,1,7,4,4,6,9
407_0,25,2,54,78,79,1,1,51,5,37,13,4
408_0,50,4,122,111,148,1,6,93,14,72,57,10
409_0,26,18,40,45,57,22,14,41,19,33,18,17
410_0,90,7,215,154,184,2,18,161,39,157,76,19
411_0,60,4,84,93,104,7,9,94,29,65,34,12
412_0,18,2,115,94,82,3,4,43,24,47,25,6
413_0,96,6,219,177,213,3,21,162,54,174,78,18
414_0,21,2,45,57,54,3,2,39,8,26,13,5
415_0,29,1,59,79,81,0,1,65,6,37,14,4
416_0,26,1,52,81,80,1,1,59,7,33,13,5
417_0,94,5,200,168,190,2,18,156,53,152,69,18
418_0,31,1,71,80,87,3,1,66,8,44,19,5
419_0,31,21,51,55,61,24,13,50,21,41,21,19
420_0,30,10,37,27,36,10,25,31,41,37,27,14
421_0,30,1,54,65,68,1,1,59,6,35,14,5
422_0,95,4,250,199,243,2,16,172,47,185,77,14
423_0,2,16,10,12,12,7,1,7,4,4,7,9
424_0,8,0,32,21,52,8,0,51,5,11,14,5
425_0,27,1,57,66,72,3,1,57,7,35,14,5
426_0,7,17,17,19,17,14,1,13,3,9,10,10
427_0,33,15,59,70,69,15,2,58,12,36,17,12
428_0,8,23,20,21,19,20,2,16,4,11,14,12
429_0,57,7,139,119,134,6,20,108,36,116,61,18
430_0,13,0,64,49,86,5,0,56,13,32,23,2
431_0,21,2,43,55,50,2,2,41,8,27,14,4
432_0,4,17,13,17,16,12,1,11,2,7,8,11
433_0,63,2,120,117,130,1,5,105,25,92,38,6
434_0,23,4,103,107,95,0,5,54,23,49,25,4
435_0,39,2,90,88,101,1,2,71,12,58,27,3
436_0,32,10,44,33,38,7,20,37,36,39,28,13
437_0,30,1,77,83,92,2,1,63,8,44,18,4
438_0,83,10,217,153,187,4,21,149,46,171,86,21
439_0,4,7,11,16,15,6,1,12,2,6,6,5
440_0,23,6,47,58,54,7,2,41,8,27,13,7
441_0,42,15,72,55,60,11,28,61,44,67,45,19
442_0,4,14,14,19,18,9,1,11,3,7,10,9
443_0,73,8,196,144,166,4,17,137,40,149,74,18
444_0,5,10,13,15,12,8,1,10,2,6,8,7
445_0,36,2,98,99,110,1,3,76,12,67,28,4
446_0,18,0,33,38,44,0,1,37,7,19,10,3
447_0,35,0,63,66,75,0,2,65,14,39,20,4
448_0,36,8,86,77,88,6,15,68,33,72,39,12
449_0,30,4,60,78,75,4,1,57,10,32,16,7
450_0,19,7,41,34,40,6,12,31,25,34,23,9
451_0,28,1,56,56,65,1,1,47,9,43,16,3
452_0,80,3,178,156,170,2,11,146,37,136,59,13
453_0,35,0,64,66,76,0,2,65,15,40,20,4
454_0,5,3,17,22,22,3,1,15,3,10,4,3
455_0,18,17,26,24,27,18,13,21,22,22,15,12
456_0,50,1,123,108,116,1,6,94,22,91,36,5
457_0,2,7,10,12,11,3,0,7,1,4,5,4
458_0,5,3,14,18,19,3,1,12,1,9,5,3
459_0,20,1,45,69,74,1,3,60,6,29,10,5
460_0,3,10,12,13,13,8,0,8,1,5,6,6
461_0,39,1,80,76,84,1,2,67,14,57,24,4
462_0,32,2,72,72,85,1,1,63,9,51,20,5
463_0,20,1,43,46,52,0,1,40,7,28,12,3
464_0,3,4,9,14,12,3,1,8,2,5,6,3
465_0,35,0,62,65,74,0,2,63,14,38,20,4
466_0,21,2,44,56,52,3,2,42,8,28,14,4
467_0,11,31,22,27,25,27,2,22,5,13,15,15
468_0,5,8,13,20,17,6,2,12,4,9,8,6
469_0,6,6,17,24,22,4,1,16,3,10,5,5
470_0,2,11,15,14,13,9,0,7,2,6,7,6
471_0,25,1,52,62,68,3,1,52,7,31,13,5
472_0,1,7,11,13,13,4,1,7,1,3,5,6
473_0,24,3,40,40,47,2,2,45,10,27,12,4
474_0,27,3,61,80,81,2,1,55,8,36,15,6
475_0,8,9,11,18,15,7,3,12,5,9,8,7
476_0,13,2,36,47,46,3,1,33,4,21,10,4
477_0,29,1,56,66,72,2,1,60,7,35,15,6
478_0,27,10,48,34,39,10,21,37,33,43,32,14
479_0,72,9,162,138,160,5,19,125,37,131,64,18
480_0,67,13,131,109,120,11,28,110,47,117,65,21
481_0,67,10,196,136,171,5,20,123,42,153,82,20
482_0,38,2,121,119,132,1,4,82,16,78,33,5
483_0,38,8,92,81,97,6,15,72,35,81,41,13
484_0,8,11,25,29,31,7,1,18,3,13,8,9
485_0,54,1,134,117,125,1,7,103,24,100,39,7
486_0,30,1,72,72,84,1,1,57,8,49,20,4
487_0,3,5,21,16,33,15,2,19,6,1,2,2
488_0,24,1,50,53,60,0,1,45,8,34,14,3
489_0,45,2,115,107,125,1,4,86,14,79,33,6
490_0,24,21,38,40,47,24,13,38,18,33,16,18
491_0,29,16,57,72,70,11,2,66,11,36,18,11
492_0,19,1,29,35,36,1,1,35,6,18,8,3
493_0,12,3,28,37,37,2,1,31,4,17,10,4
494_0,22,1,48,50,58,1,1,43,7,33,13,4
495_0,36,2,107,103,117,1,3,79,14,69,29,5
496_0,5,1,27,21,45,0,2,43,2,14,4,7
497_0,24,1,45,55,58,1,1,49,6,27,12,5
