system:index,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
4274_0,6,11,21,23,25,7,1,15,3,10,7,8
4275_0,35,2,87,86,96,1,3,69,12,57,27,4
4276_0,29,21,63,72,71,19,2,61,10,39,18,14
4277_0,24,1,48,48,56,0,1,45,9,30,13,3
4278_0,34,2,70,81,91,2,1,71,8,45,18,6
4279_0,42,3,93,91,105,2,3,77,12,69,29,5
4280_0,81,10,202,163,194,4,19,146,43,159,79,21
4281_0,33,11,41,30,36,9,23,37,37,38,30,14
4282_0,29,9,63,61,74,11,7,53,18,40,19,10
4283_0,5,17,14,18,16,13,1,12,2,7,9,11
4284_0,44,9,107,91,107,7,20,82,36,93,51,17
4285_0,49,2,144,141,154,1,5,101,18,96,40,7
4286_0,15,4,37,44,45,6,1,31,5,22,11,5
4287_0,1,13,10,11,11,7,0,6,3,3,7,8
4288_0,71,9,177,150,184,4,21,132,47,147,72,18
4289_0,1,8,9,10,10,3,0,6,1,2,4,4
4290_0,5,4,17,21,22,3,1,14,3,10,5,3
4291_0,1,13,9,11,10,6,0,6,5,3,6,9
4292_0,16,1,28,34,36,1,1,33,5,14,8,2
4293_0,26,0,48,51,58,0,1,50,10,28,15,3
4294_0,69,9,181,141,160,4,16,124,37,140,72,18
4295_0,82,13,234,162,211,8,24,154,50,191,90,25
4296_0,33,8,62,70,79,12,13,62,24,51,29,13
4297_0,27,1,48,59,65,1,1,54,7,32,13,5
4298_0,28,2,57,58,69,1,1,54,8,41,16,4
4299_0,56,1,115,110,119,1,5,96,21,86,37,6
4300_0,6,9,21,25,25,6,1,17,2,10,7,7
4301_0,4,4,9,16,14,4,1,10,2,5,8,2
4302_0,24,21,53,56,58,17,1,46,10,33,16,14
4303_0,34,10,62,48,52,7,21,53,35,54,38,14
4304_0,3,16,12,15,15,9,1,9,4,6,10,11
4305_0,31,11,40,30,35,8,22,36,36,37,29,13
4306_0,66,14,130,104,118,8,26,106,50,111,65,24
4307_0,5,18,15,19,16,12,1,12,2,8,10,10
4308_0,8,20,20,21,19,18,2,15,4,12,13,11
4309_0,22,1,49,48,57,1,1,42,8,31,13,4
4310_0,18,2,120,91,78,3,4,42,24,48,24,7
4311_0,93,7,222,161,194,2,16,165,39,165,79,18
4312_0,9,26,20,25,22,19,1,18,4,11,13,14
4313_0,26,2,59,77,78,2,1,54,8,33,16,5
4314_0,102,9,266,203,234,3,17,190,48,199,100,22
4315_0,16,1,28,34,37,1,1,34,6,16,8,2
4316_0,23,9,25,18,22,9,20,22,33,26,20,12
4317_0,7,4,21,26,26,4,1,20,3,14,6,5
4318_0,3,17,13,14,15,10,1,9,5,5,9,12
4319_0,40,0,71,73,81,1,3,70,16,43,22,4
4320_0,4,14,12,17,16,10,1,10,3,7,10,10
4321_0,4,0,27,21,40,2,2,45,3,12,6,9
4322_0,15,1,30,36,42,1,1,31,5,17,8,3
4323_0,33,1,68,72,78,0,1,63,12,45,20,3
4324_0,34,1,62,81,85,3,2,68,9,45,16,6
4325_0,31,1,57,69,74,3,2,61,9,38,15,6
4326_0,3,4,10,14,14,4,1,8,3,5,7,3
4327_0,6,19,15,20,18,13,1,13,3,7,10,12
4328_0,31,11,62,46,53,11,23,48,36,55,38,16
4329_0,57,4,136,116,125,2,12,104,30,92,42,11
4330_0,62,4,175,139,164,1,10,117,27,119,54,11
4331_0,19,1,38,40,48,0,1,36,8,23,11,3
4332_0,16,18,31,32,39,21,12,29,16,24,13,14
4333_0,2,13,11,11,11,6,0,5,5,4,6,10
4334_0,34,10,46,35,40,7,20,38,37,41,29,14
4335_0,3,8,15,18,18,5,0,9,2,5,6,5
4336_0,2,14,14,13,13,10,2,7,2,5,7,8
4337_0,65,2,126,119,129,1,6,110,25,97,42,8
4338_0,24,0,43,46,53,0,1,45,9,25,14,3
4339_0,37,2,108,107,117,1,3,79,14,71,30,5
4340_0,17,1,45,63,63,1,1,42,5,26,11,4
4341_0,59,2,114,110,124,1,4,98,22,84,34,6
4342_0,76,11,204,145,178,5,22,146,46,167,86,23
4343_0,28,1,53,55,62,1,2,53,11,31,15,3
4344_0,33,20,67,65,79,21,20,60,28,59,30,19
4345_0,26,1,42,45,49,0,1,47,9,26,12,3
4346_0,39,2,96,97,112,1,3,79,11,62,25,4
4347_0,124,16,336,227,295,7,31,229,70,268,131,36
4348_0,4,8,12,17,14,6,1,11,2,6,9,5
4349_0,32,10,41,32,35,7,21,36,36,38,28,14
4350_0,3,4,10,14,13,3,1,8,2,6,6,4
4351_0,39,2,75,73,81,1,1,63,13,56,21,3
4352_0,51,2,155,145,162,1,5,109,20,101,43,7
4353_0,15,1,31,37,43,1,1,31,5,18,7,3
4354_0,23,23,40,44,53,27,15,42,19,31,18,19
4355_0,28,1,52,78,79,2,1,61,8,35,14,5
4356_0,8,7,19,26,24,4,2,18,5,12,7,5
4357_0,4,7,12,18,18,5,1,11,2,6,8,3
4358_0,3,15,12,15,15,9,1,10,3,6,10,11
4359_0,2,13,11,13,12,7,1,8,4,4,8,10
4360_0,4,17,13,19,16,11,1,12,3,6,10,10
4361_0,22,3,45,60,59,3,1,46,6,31,11,6
4362_0,39,25,69,70,85,32,18,62,26,55,26,22
4363_0,5,0,20,19,42,1,5,35,2,11,4,5
4364_0,24,9,38,29,34,8,19,29,31,34,25,13
4365_0,72,8,152,120,136,3,20,117,43,114,58,21
4366_0,20,8,33,25,30,7,16,25,27,29,21,11
4367_0,9,0,35,35,49,1,1,45,3,18,9,6
4368_0,78,5,144,137,157,4,15,129,41,120,57,17
4369_0,52,4,126,110,124,2,12,92,27,88,40,12
4370_0,61,13,154,108,134,7,21,106,42,127,74,21
4371_0,48,5,81,79,90,5,5,79,22,52,25,9
4372_0,54,4,133,117,127,1,11,102,27,89,40,9
4373_0,3,14,12,13,13,8,1,9,2,5,8,8
4374_0,69,10,178,146,165,4,19,126,38,140,66,18
4375_0,18,3,41,50,47,5,1,33,7,20,12,4
4376_0,60,10,117,110,130,8,18,103,43,102,52,19
4377_0,74,6,214,166,198,1,13,149,36,153,74,16
4378_0,30,1,58,70,73,2,1,62,7,36,16,5
4379_0,4,7,12,18,18,5,1,10,2,6,8,3
4380_0,2,13,10,13,13,8,1,8,4,5,8,10
4381_0,83,2,159,141,157,2,10,130,36,123,54,13
4382_0,28,1,66,66,75,1,1,57,8,41,16,3
4383_0,3,6,12,18,18,3,1,11,4,7,6,3
4384_0,17,6,40,40,47,6,2,34,9,27,12,7
4385_0,2,13,9,9,9,7,1,5,4,3,7,10
4386_0,23,9,29,21,25,8,19,23,31,28,22,11
4387_0,26,9,40,29,33,9,20,32,30,36,28,12
4388_0,99,8,255,174,216,3,20,178,47,190,93,22
4389_0,84,3,167,149,168,3,10,137,37,130,57,13
4390_0,3,12,11,13,12,7,1,9,3,5,8,8
4391_0,92,6,222,175,213,2,20,159,51,171,77,16
4392_0,66,15,168,120,150,9,24,115,45,140,77,22
4393_0,22,16,58,54,71,18,16,43,24,49,24,15
4394_0,89,7,245,193,233,2,11,180,37,175,81,17
4395_0,46,1,117,103,111,1,6,89,21,86,33,6
4396_0,2,7,13,15,15,3,0,8,1,4,4,4
4397_0,69,14,135,113,126,8,28,114,52,119,67,24
4398_0,17,0,63,57,75,7,0,50,9,25,14,1
4399_0,16,11,35,31,39,14,10,28,16,25,14,11
4400_0,33,3,68,89,86,4,1,64,10,45,17,9
4401_0,72,6,229,175,209,2,14,148,35,164,74,16
4402_0,3,8,16,19,18,5,0,9,1,5,6,6
4403_0,10,27,20,25,22,23,2,19,4,12,14,13
4404_0,31,2,98,95,108,1,4,68,13,66,25,5
4405_0,61,16,144,100,125,11,26,95,45,120,65,21
4406_0,55,3,157,126,145,1,10,103,26,108,50,10
4407_0,29,10,44,33,37,7,19,37,32,39,29,12
4408_0,2,14,15,13,14,10,1,7,1,6,7,7
4409_0,4,15,12,15,14,10,1,11,2,6,8,9
4410_0,5,3,16,20,21,3,1,14,2,10,5,3
4411_0,29,1,54,68,70,1,1,59,6,33,14,4
4412_0,27,2,57,61,68,1,1,56,7,38,15,4
4413_0,77,8,189,159,183,3,16,137,36,144,65,16
4414_0,19,16,31,33,39,21,10,28,16,27,13,14
4415_0,60,3,179,138,170,1,10,113,26,124,56,11
4416_0,9,13,32,34,36,9,1,22,4,16,9,10
4417_0,5,8,19,22,22,5,1,13,1,8,6,6
4418_0,80,12,202,142,169,4,23,144,49,162,87,24
4419_0,30,2,79,74,83,1,3,57,11,48,22,3
4420_0,22,2,44,56,53,3,2,41,8,27,13,5
4421_0,31,3,107,93,93,0,3,62,13,55,21,3
4422_0,25,10,48,59,58,11,1,47,10,27,15,10
4423_0,20,0,36,40,47,1,1,39,7,21,11,3
4424_0,24,17,52,62,60,15,1,51,9,31,16,12
4425_0,3,11,12,13,13,8,1,8,2,5,7,8
4426_0,14,5,30,37,37,6,1,27,4,18,10,5
4427_0,3,13,10,13,13,7,1,9,3,4,8,9
4428_0,3,12,17,17,18,8,1,10,2,7,7,8
