system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev
13803_0,35,9,2,7,6,2
13804_0,28,128,2,6,5,1
13805_0,30,128,0,5,5,1
13806_0,3,160,97,6,1,1
13809_0,92,8,97,8,47,4
13811_0,81,0,2,7,28,12
13812_0,29,129,2,5,5,1
13813_0,11,136,2,6,2,1
13814_0,31,136,2,5,6,1
13815_0,27,128,2,6,5,1
13816_0,43,128,2,4,7,1
13817_0,12,136,0,7,2,1
13818_0,89,8,34,5,42,10
13820_0,85,0,32,6,34,12
13821_0,51,128,2,4,12,2
13822_0,31,128,2,2,5,0.5
13823_0,40,128,2,5,8,1
13824_0,41,136,2,4,8,1
13825_0,30,136,0,7,5,1
13826_0,39,128,0,5,7,1
13827_0,43,128,2,5,11,2
13828_0,7,160,0,0,1,0
13829_0,20,136,2,5,3,1
13830_0,34,128,0,6,8,2
13831_0,12,128,0,6,2,1
13832_0,69,128,2,3,21,2
13833_0,9,128,2,0,1,0
13834_0,0,160,97,7,0,1
13835_0,42,128,0,5,9,1
13836_0,24,136,2,4,4,1
13837_0,57,136,0,3,11,1
13838_0,58,4,2,9,15,4
13840_0,57,0,2,9,12,3
13841_0,28,128,2,5,7,1
13842_0,9,136,2,0,1,0
13843_0,10,136,0,5,2,1
13845_0,49,137,2,4,11,2
13846_0,18,136,0,8,3,1
13848_0,77,8,97,8,30,4
13849_0,78,0,2,7,28,12
13850_0,7,136,0,0,1,0
13851_0,18,128,0,8,3,2
13852_0,29,128,0,5,5,1
13853_0,34,136,2,3.5,6,1
13854_0,44,128,2,5,11,2
13855_0,12,128,0,7,2,1
13856_0,58,4,2,8,16,10.5
13857_0,62,4,2,9,15,4
13858_0,13,128,2,7,2,1
13860_0,15,128,2,7,2,1
13862_0,62,1,2,8,16,6
13864_0,45,128,2,3,7,1
13865_0,32,129,2,5,7,1
13866_0,49,128,0,5,10,2
13867_0,27,128,2,5,6,1
13868_0,9,128,0,0,1,0
13869_0,19,160,16,5,3,1
13870_0,16,136,2,2.5,3,1
13871_0,9,136,0,0,1,0
13872_0,18,160,0,7,3,1
13873_0,58,4,2,9,15,5
13874_0,13,128,0,7,2,1
13875_0,11,128,0,7,2,1
13877_0,27,128,2,6,4,2
13879_0,12,128,2,7,2,1
13880_0,81,0,2,8,26,11
13881_0,11,128,0,6,2,1
13882_0,46,128,0,4,12,2
13884_0,11,128,2,6,2,1
13885_0,15,128,0,8,2,1
13886_0,44,128,2,4,10,1
13887_0,58,128,0,4,16,2
13888_0,47,128,2,5,11,2
13889_0,41,128,2,5,10,2
13890_0,40,128,2,5,9,2
13891_0,34,128,0,5,7,1
13892_0,29,128,2,5,5,1
13894_0,38,128,0,5,9,2
13895_0,36,130,2,0,6,0
13896_0,53,4,2,9,11,3
13898_0,9,160,2,0,1,0
13900_0,86,0,32,6.5,37,11
13901_0,11,136,2,6,2,1
13902_0,75,8,2,8,25,11
13903_0,92,8,97,5,52,10.5
13904_0,49,1,2,9,10,3
13906_0,31,128,2,4,5,1
13907_0,57,128,2,4,15,2
13908_0,58,128,0,4,15,2
13909_0,39,129,2,4,9,1
13911_0,10,136,2,5,2,1
13912_0,60,129,0,3.5,18,2
13913_0,16,128,0,7,2,1
13914_0,60,128,2,4,14,2
13915_0,57,1,2,8,14,3
13916_0,16,128,2,8,3,1
13919_0,25,128,2,6,4,1
13920_0,18,128,2,8,3,1
13922_0,11,128,0,6,2,1
13923_0,13,128,2,7,2,1
13924_0,38,132,2,5,8,1
13927_0,49,128,0,5,13,2
13928_0,17,129,2,6,3,1
13929_0,42,128,2,4,10,2
13930_0,30,128,2,5,7,1
13931_0,55,0,2,9,12,3
13932_0,59,129,2,4,13,2
13933_0,16,136,0,7,3,1
13934_0,10,128,0,0,1,0
13935_0,75,0,2,9,23,11
13936_0,13,128,0,7,2,1
13937_0,61,0,0,9,15,4
13939_0,26,128,0,5,5,1
13940_0,57,4,2,9,14,10
13941_0,36,128,2,5,8,1
13942_0,90,0,32,5,42,11
13943_0,51,128,2,5,11,1
13944_0,33,128,2,6,8,2
13945_0,31,128,2,5,5,1
13948_0,73,0,2,8,22,10
13949_0,24,136,2,4,4,1
13950_0,15,136,0,6,2,1
13951_0,62,4,2,9,16,5
13952_0,22,136,0,5,3,1
13953_0,22,128,2,7,4,2
13955_0,18,129,0,7,3,1
13956_0,68,128,0,4,20,2
13957_0,45,136,2,4,8,1
13960_0,45,128,2,4,9,1
13961_0,11,128,2,5,2,1
13963_0,92,8,97,7.5,51,4
13964_0,14,128,2,7,2,1
13965_0,73,1,2,8,23,11
13966_0,26,136,0,5,4,1
13968_0,48,5,2,9,8,3
13969_0,40,128,0,5,11,2
13971_0,67,136,2,4,20,3
13973_0,84,0,2,6,32,11
13974_0,7,128,0,0,1,0
13975_0,11,128,0,6,2,1
13976_0,28,4,2,9,5,3
13978_0,18,136,2,5,3,1
13979_0,60,8,0,9,13,3
13981_0,29,129,0,5,7,1
13982_0,24,136,2,5,4,1
13984_0,13,136,0,6,2,1
13985_0,19,136,2,5,3,1
13986_0,77,8,2,8,25,11.5
13987_0,53,128,2,4,15,2
13988_0,10,128,0,0,1,0
13990_0,35,136,2,6,6,1
13991_0,67,1,2,9,20,10
13992_0,26,128,2,5,5,1
13995_0,22,136,2,4,3,1
13996_0,7,128,0,0,1,0
13997_0,39,4,10,9,9,5
13998_0,51,128,0,4,14,2
14000_0,15,128,0,7,2,1
14003_0,83,0,2,6,32,11
14004_0,42,128,2,5,11,2
14006_0,58,8,2,9,13,4
14007_0,48,128,2,3,9,1
14008_0,14,128,2,7,3,1
14009_0,30,128,2,6,6,1
14010_0,13,128,0,7,2,1
14011_0,39,128,2,5,7,1
14012_0,41,128,2,5,9,2
14014_0,7,128,0,0,1,0
14017_0,71,0,2,8,23,11
14019_0,21,128,2,8,3,2
14020_0,30,128,2,6,5,1
14021_0,12,128,0,7,2,1
14022_0,61,5,2,9,17,10
14023_0,45,136,2,4,8,1
14024_0,53,128,2,3,11,1
14025_0,42,128,2,4,7,1
14026_0,74,0,2,8,23,11
14027_0,29,136,2,5,6,1
14028_0,73,0,2,8,25,11
14029_0,23,128,0,5,5,1
14030_0,86,1,32,2,45,5
14032_0,69,6,2,9,23,11
14033_0,37,136,2,4,7,1
14034_0,7,160,0,0,1,0
14035_0,35,128,2,5,9,2
14036_0,68,4,2,9,18,11
14037_0,23,128,2,6,4,1
14038_0,39,128,0,5,8,1
14039_0,0,161,97,6,0,1
14040_0,62,8,2,8,16,11
14041_0,37,128,2,5,7,1
14042_0,38,128,2,4,10,1
14044_0,13,128,0,7,2,1
14045_0,25,128,2,7,5,2
14046_0,33,128,0,6,8,2
14047_0,76,128,2,3,24,3
14048_0,53,128,2,4,15,2
14049_0,63,0,2,10,17,7
14050_0,11,136,2,6,2,1
14052_0,37,136,2,5,8,1
14055_0,11,128,0,6,2,1
14056_0,31,136,2,6,7,2
14057_0,13,128,0,7,2,1
14058_0,56,4,2,8,14,3
14059_0,28,128,2,1,3,0.5
14060_0,17,136,2,5.5,3,1
14061_0,66,0,0,9,17,5
14062_0,19,136,2,5,3,1
14063_0,10,128,0,5,2,1
14064_0,43,128,0,5,11,2
14065_0,51,128,2,5,14,2
14066_0,42,128,0,5,9,2
14067_0,48,128,2,4,10,1
14068_0,7,136,0,0,1,0
14069_0,83,0,32,8,32,12
14070_0,13,128,0,7,2,1
14071_0,39,128,2,5,8,2
14073_0,70,0,2,8,24,11
14074_0,47,128,2,4,13,2
14075_0,86,0,32,6,37,11
14076_0,9,136,0,0,1,0
14077_0,20,128,0,8,3,2
14078_0,28,132,2,4,5,1
14079_0,58,4,16,8,12,4
14080_0,25,128,2,6.5,5,2
14081_0,40,128,0,5,9,2
14082_0,13,128,0,7,2,1
14083_0,30,129,0,4,6,1
14084_0,55,128,2,4,15,2
14085_0,15,128,0,7,2,1
14086_0,78,0,2,8,28,11
14087_0,13,136,2,7,2,1
14088_0,23,160,2,5,3,1
14089_0,13,160,2,5,2,1
14093_0,50,128,2,5,12,2
14094_0,92,0,97,7,50,10
14095_0,77,0,2,8,26,11.5
14096_0,10,136,0,6,2,1
14097_0,41,128,2,5,8,1
14098_0,55,130,0,4,15,2
14099_0,13,128,0,7,2,1
14101_0,65,8,10,8,16,10
14102_0,67,0,0,9,18,5.5
14105_0,36,128,2,4,8,1
14106_0,31,128,2,5,6,1
14108_0,37,128,2,5,9,2
14109_0,9,160,0,0,1,0
14110_0,16,136,2,6,3,1
14111_0,40,128,2,5,8,1
14112_0,33,4,2,9,5,2
14113_0,7,160,0,0,1,0
14115_0,22,128,0,8,3,1
14116_0,11,136,0,6,2,1
14117_0,18,136,2,5,3,1
14118_0,18,132,2,4,3,1
14119_0,85,0,16,7,32,11.5
14120_0,69,0,2,9,18,6
14121_0,52,4,2,9,10,4
14122_0,33,128,0,5,5,1
14123_0,87,0,34,6,38,9
14124_0,10,136,0,0,1,0
14125_0,38,128,0,5,9,2
14126_0,71,0,2,8,21,11
14128_0,24,128,2,8,6,2
14130_0,9,136,8,4,1,1
14131_0,39,129,2,5,9,2
14133_0,10,128,0,5,1,1
14134_0,10,136,0,6,2,1
14136_0,30,128,2,4,5,1
14137_0,38,128,2,4,7,1
14139_0,19,128,2,8,3,2
14140_0,27,128,0,5,5,1
14141_0,28,128,2,6,6,1
14142_0,24,128,0,6,5,1
14143_0,48,4,2,9,10,3
14144_0,35,128,0,5,9,2
14145_0,67,0,2,9,18,5
14146_0,16,136,2,0,3,0
14147_0,58,8,2,9,13,4
14148_0,13,136,0,7,2,1
14149_0,57,128,2,5,14,2
14151_0,74,0,2,8,24,11
14152_0,9,136,0,0,1,0
14153_0,44,128,2,4,12,2
14155_0,9,160,97,5,1,1
14156_0,13,136,2,5,2,1
14158_0,76,0,0,8,26,11
14159_0,14,128,2,6,2,1
14160_0,9,136,0,0,1,0
14161_0,44,128,2,5,10,2
14162_0,13,136,0,7,2,1
14164_0,60,8,2,8,16,11
14165_0,92,8,97,8,50,4
14166_0,16,128,0,7,2,1
14167_0,29,128,0,6,6,2
14168_0,27,136,2,5.5,5,1
14169_0,9,128,0,0,1,0
14170_0,81,0,32,8,26,11
14171_0,45,128,2,5,11,2
14172_0,57,8,2,9,11,3
14173_0,26,136,2,5,5,1
14174_0,64,128,2,4,18,2
14175_0,10,136,0,0,2,0
14176_0,82,0,18,7,32,11
14177_0,22,128,0,6,3,1
14178_0,9,128,0,0,1,0
14179_0,37,128,2,4,9,1
14180_0,12,129,2,4,2,1
14181_0,50,136,2,3,10,1
14183_0,62,4,2,9,15,4
14184_0,9,160,0,0,1,0
14185_0,1,160,97,0,0,0
14186_0,49,4,2,9,11,3.5
14187_0,51,128,2,5,11,2
14188_0,51,128,2,4,12,1
14189_0,81,8,16,7,29,12
14190_0,33,128,0,5,7,1
14191_0,73,0,2,9,23,12
14192_0,9,128,0,0,1,0
14193_0,49,136,2,5,10,1
14194_0,32,129,2,5,6,1
14195_0,39,128,2,5,7,1
14196_0,11,128,0,6,2,1
14197_0,26,128,2,5,5,1
14198_0,12,128,2,7,2,1
14199_0,42,128,2,5,10,2
14200_0,37,128,0,6,9,2
14201_0,16,128,0,7,2,1
14202_0,25,128,0,5,5,1
14203_0,38,128,0,4,11,2
14204_0,65,0,2,9,17,5
14205_0,46,128,0,5,11,2
14206_0,37,160,0,5,7,1
14207_0,86,0,8,6,35,12
14208_0,9,136,0,0,1,0
14210_0,11,128,2,6,2,1
14212_0,92,0,32,3,51,8
14213_0,25,128,0,7,4,1
14214_0,20,136,2,1,3,0
14217_0,26,136,2,6,4,1
14218_0,10,128,0,0,1,0
14220_0,31,136,2,5.5,6,1
14222_0,26,128,0,3,3,1
14223_0,16,128,0,7,2,1
14224_0,24,128,0,6,5,1
14225_0,9,160,8,0,1,0
14226_0,70,8,0,9,20,7
14229_0,69,4,2,8,21,12
14230_0,45,128,0,4,7,1
14231_0,9,160,2,0,1,0
14233_0,43,128,0,5,10,2
14235_0,9,160,0,0,1,0
14236_0,15,136,2,4,2,1
14237_0,65,0,2,9,18,5
14238_0,19,136,2,8,3,1
14239_0,35,128,2,3,6,1
14241_0,16,128,0,7,3,1
14243_0,60,128,2,4,17,2
14244_0,68,0,2,9,22,10
14245_0,17,136,2,6,3,1
14246_0,45,128,0,4,11,2
14247_0,31,136,0,4,5,1
14248_0,43,129,0,5,10,2
14250_0,7,128,0,0,1,0
14251_0,16,128,0,8,2,1
14253_0,17,129,2,6,3,1
14254_0,25,136,2,5,4,1
14255_0,19,160,2,6,3,1
14256_0,10,128,0,5,2,1
14257_0,43,128,2,3,8,1
14258_0,91,0,34,6,39,11
14259_0,46,128,2,3,8,1
14260_0,11,128,0,6,2,1
14261_0,13,128,2,6,2,1
14262_0,9,136,0,0,1,0
14263_0,41,136,2,5,9,2
14265_0,64,0,2,9,15,4
14267_0,83,8,32,6,29,11
14268_0,34,129,2,6,8,2
14271_0,13,136,2,4,2,1
14272_0,12,128,0,6,2,1
14273_0,95,8,97,7,56,4
14274_0,72,8,2,9,21,10.5
14276_0,38,128,2,3,7,1
14278_0,27,128,2,5,5,1
14279_0,12,136,0,7,2,1
14280_0,34,5,10,9,6,3
14281_0,20,128,2,6.5,3,1
14282_0,67,0,2,9,20,10
14284_0,33,128,0,4,8,1
14285_0,42,128,0,5,10,2
14287_0,46,128,2,5,10,1
14288_0,12,136,0,6,2,1
14289_0,30,136,2,3,5,1
14291_0,7,136,0,0,1,0
14294_0,60,8,2,9,14,5
14295_0,17,136,0,4,3,1
14296_0,42,128,2,5,10,2
14297_0,29,128,2,4,5,1
14299_0,60,5,2,7,13,11
14300_0,28,129,2,4,5,1
14302_0,26,128,0,6,4,1
14303_0,33,128,0,6,6,1
14305_0,29,136,2,4,6,1
14306_0,23,136,2,4,3,1
14307_0,43,128,2,4,11,2
14308_0,13,128,2,7,2,1
14310_0,69,4,2,9,20,6
14312_0,28,129,0,6,5,1
14313_0,10,136,2,3,1,0.5
14314_0,54,0,2,8,11,3
14315_0,86,0,18,6,37,12
14316_0,44,128,0,5,9,2
14317_0,27,128,0,6,5,1
14318_0,11,161,2,5,2,1
14319_0,16,128,8,4,3,1
14321_0,16,128,2,7,3,1
14322_0,44,128,2,5,10,2
14323_0,16,136,0,8,2,1
14324_0,36,128,2,4,6,1
14325_0,34,128,2,5,6,1
14326_0,12,136,0,7,2,1
14327_0,43,128,2,5,11,2
14329_0,11,128,2,6,2,1
14330_0,92,8,97,7,50,10
14331_0,37,4,10,9,6,3
14332_0,76,1,2,9,23,10
14333_0,11,128,2,7,2,1
14334_0,42,128,2,5,10,2
14335_0,10,128,2,5,2,1
14336_0,32,128,0,6,8,2
14337_0,92,8,97,6,47,8
14338_0,41,136,2,5,8,1
14339_0,54,8,2,9,11,3
14340_0,27,136,2,5,5,1
14341_0,45,128,2,5,10,1
14342_0,76,0,2,7,26,11
14343_0,23,136,2,5,3,1
14345_0,23,129,2,5,4,1
14346_0,10,160,2,0,1,0
14347_0,57,8,2,9,11,4
14348_0,9,160,2,6,1,1
14349_0,13,137,2,0,2,0
14350_0,73,0,2,8,22,10.5
14351_0,50,8,0,8,10,3
14352_0,92,4,97,7,50,7
14353_0,10,160,2,0,1,0
14355_0,30,128,2,5,5,1
14356_0,64,8,2,9,16,5
14357_0,9,128,0,0,1,0
14358_0,10,128,0,6,2,1
14359_0,14,136,2,5,2,1
14360_0,46,128,0,5,12,2
14361_0,22,128,0,7,3,1
14363_0,27,128,0,6,5,1
14365_0,10,128,0,0,1,0
14366_0,40,129,2,5,8,1
14367_0,30,136,0,6,4,1
14368_0,22,136,2,7,3,1
14370_0,56,128,2,4,16,2
14371_0,16,136,2,6,3,1
14374_0,60,4,2,9,15,4
14375_0,45,128,0,5,9,1
14376_0,49,128,2,4,11,2
14377_0,9,136,2,4,2,1
14379_0,46,128,0,3,9,1
14380_0,42,128,2,5,10,2
14381_0,29,128,0,5.5,6,1
14383_0,52,8,2,9,11,3
14384_0,11,136,2,5,2,1
14385_0,38,128,2,5,9,2
14386_0,47,128,2,5,9,1
14388_0,46,4,2,8,10,3
14389_0,38,136,2,4,6,1
14390_0,29,128,0,6,5,1
14391_0,34,128,2,4.5,7,1
14392_0,42,128,2,3,7,1
14393_0,65,128,2,4,19,2
14394_0,23,128,2,6,3,1
14396_0,84,8,32,6,32,10
14397_0,87,0,32,7,35,11
14398_0,13,136,2,5,2,1
14399_0,37,128,0,5,7,1
14400_0,37,128,0,5,9,2
14403_0,51,136,0,5,13,2
14404_0,25,128,2,6,5,2
14405_0,67,0,0,9,15,4
14406_0,12,136,0,6,2,1
14407_0,32,128,0,5,6,1
14408_0,7,128,0,0,1,0
14411_0,18,128,0,8,3,1
14412_0,10,136,0,6,1,1
14413_0,7,160,0,0,1,0
14414_0,10,136,0,6,2,1
14415_0,44,5,2,10,8,4.5
14416_0,40,128,2,5,10,2
14417_0,16,128,2,7,2,1
14418_0,21,136,2,5,3,1
14419_0,36,128,0,5,8,2
14420_0,10,136,2,6,2,1
14421_0,28,128,0,6,5,1
14422_0,13,136,2,7,2,1
14423_0,42,128,0,4,9,1
14424_0,27,128,2,7,4,2
14425_0,46,128,0,4,12,2
14426_0,13,160,2,5,2,1
14429_0,25,128,2,7,4,1
14431_0,30,128,0,7,5,1
14432_0,0,160,97,0,0,0
14433_0,24,136,2,4.5,4,1
14434_0,36,128,0,5,8,1
14435_0,30,128,0,6,5,1
14436_0,9,136,0,0,1,0
14437_0,12,136,2,6,2,1
14438_0,35,128,2,5,8,2
14439_0,34,136,0,5,8,1
14441_0,34,128,2,3,5,1
14442_0,53,128,0,4,14,2
14443_0,15,128,0,8,2,1
14444_0,11,160,10,5,2,1
14445_0,71,0,2,8,22,11
14446_0,20,128,2,9,3,1
14448_0,28,128,2,6,5,1
14449_0,31,128,0,6,8,2
14450_0,12,128,2,6,2,1
14451_0,33,128,0,6,6,1
14452_0,34,128,0,4,8,1
14453_0,70,0,2,8,17,6.5
14454_0,46,128,2,5,11,2
14455_0,79,0,2,8,25,11
14456_0,47,33,2,8,9,2
14458_0,75,0,2,8,24,11
14459_0,22,128,0,7,4,1
14461_0,13,136,2,5,2,1
14462_0,20,128,2,8,3,2
14463_0,50,128,0,4,12,1.5
14465_0,55,8,2,9,13,4
14466_0,13,128,0,7,2,1
14467_0,20,136,2,5,3,1
14468_0,15,128,0,7,2,1
14469_0,37,128,2,5,8,2
14470_0,25,129,2,5,5,1
14471_0,54,136,2,3,11,1
14472_0,13,136,2,6,2,1
14473_0,33,128,2,5,6,1
14474_0,92,4,34,6,48,10
14475_0,19,128,2,7,4,2
14476_0,84,0,2,7,34,12
14477_0,83,0,2,6,33,12
14478_0,92,8,97,6.5,40,9
14479_0,18,128,2,9,3,2
14480_0,28,128,2,6,6,2
14481_0,50,129,2,4,11,2
14482_0,40,128,2,5,9,2
14483_0,12,128,0,7,2,1
14485_0,49,128,2,5,13,2
14486_0,28,136,0,4,5,1
14487_0,52,8,2,9,8,2
14488_0,19,128,0,7,3,1
14489_0,24,128,0,6.5,4,1
14490_0,35,128,2,4,9,1
14491_0,49,128,2,4.5,12,2
14492_0,70,0,2,9,19,10
14493_0,29,128,2,6,5,1
14494_0,31,128,2,5,7,1
14495_0,56,0,0,9,12,3
14497_0,64,0,2,9,16,4
14498_0,25,128,0,5,5,1
14500_0,33,128,0,4,6,1
14501_0,50,128,0,4,15,2
14502_0,54,128,2,4,15,2
14503_0,52,128,0,4,14,2
14504_0,35,128,2,5,9,2
14505_0,48,128,2,4,12,1
14506_0,45,128,0,5,11,2
14507_0,13,128,2,7,2,1
14508_0,45,128,2,5,11,2
14509_0,40,129,0,5,7,1
14510_0,55,128,0,4,15,2
14512_0,33,32,2,9,6,2
14513_0,45,136,2,3,9,1
14514_0,6,160,97,6,1,1
14515_0,18,129,0,8,3,1
14517_0,51,136,0,3,10,1
14518_0,77,0,2,8,28,12
14519_0,13,128,0,7,2,1
14520_0,41,128,0,5,11,2
14521_0,77,1,2,8,26,12
14522_0,38,128,2,4,6,1
14523_0,66,1,2,8,18,10
14524_0,10,128,0,0,1,0
14525_0,55,128,0,4,14,2
14526_0,25,128,0,5,5,1
14527_0,25,136,2,4,3,1
14528_0,29,136,2,3,5,1
14530_0,15,128,0,6,2,1
14532_0,34,128,2,6,6,1
14534_0,20,136,2,5,3,1
14535_0,31,136,2,5,6,1
14536_0,48,128,0,4,12,2
14537_0,4,160,97,7,1,1
14538_0,24,136,2,5,3,1
14539_0,23,136,2,5,4,1
14542_0,11,136,0,6,2,1
14543_0,10,136,0,5,1,1
14544_0,14,128,0,7,2,1
14545_0,35,128,0,5,9,2
14546_0,27,128,2,6,5,1
14547_0,26,136,2,5,4,1
14548_0,19,128,0,8,3,2
14549_0,38,128,0,5,8,2
14550_0,82,0,2,8,30,12
14551_0,26,128,2,5,5,1
14552_0,14,128,2,7,2,1
14553_0,59,128,2,4,15,2
14554_0,21,129,2,5,3,1
14556_0,1,160,97,7,0,1
14557_0,50,8,2,9,10,4.5
14559_0,20,128,0,8,3,2
14560_0,43,128,2,3,7,1
14561_0,9,160,2,0,1,0
14563_0,59,0,2,9,15,5
14564_0,26,136,2,5,5,1
14565_0,44,8,8,9,9,3
14566_0,11,128,0,7,2,1
14567_0,45,128,0,5,10,2
14568_0,34,128,0,5,7,1
14569_0,34,129,0,6,6,1
14570_0,61,8,2,9,14,4
14571_0,47,136,2,4,10,1
14572_0,44,128,2,5,9,1
14573_0,45,128,2,4,12,2
14574_0,72,0,2,9,23,10
14577_0,63,8,0,9,16,5
14579_0,14,128,0,7,2,1
14580_0,32,128,2,4,5,1
14581_0,90,4,97,7.5,46,5
14582_0,19,128,0,8,3,2
14583_0,74,0,2,8,25,12
14584_0,7,129,0,0,1,0
14585_0,62,128,2,4,17,2
14586_0,22,128,2,8,4,1
14587_0,32,128,0,7,7,2
14588_0,21,133,2,4,3,1.5
14589_0,70,8,2,8.5,20,10
14590_0,39,128,2,5,7,1
14591_0,24,128,2,7,4,1
14592_0,2,161,97,7,0,1
14593_0,59,4,2,10,13,4
14594_0,15,5,97,9,3,3.5
14595_0,83,8,97,9,27,10
14596_0,6,136,8,0,1,0
14597_0,26,128,2,6,5,1
14598_0,34,136,2,5,6,1
14599_0,15,160,2,4.5,3,1
14600_0,33,128,2,5,6,2
14601_0,10,136,0,6,2,1
14602_0,9,128,2,0,1,0
14603_0,29,129,2,5,5,1
14604_0,88,0,34,6,39,6
14605_0,33,128,2,5,9,2
14606_0,68,0,2,9,20,10
14607_0,39,128,2,5,8,1
14608_0,11,160,0,7,2,1
14609_0,17,128,0,7,3,1
14610_0,32,133,2,4,6,1
14612_0,65,0,2,9,15,4
14613_0,48,128,0,4,12,1
14615_0,14,128,0,7,2,1
14616_0,41,128,2,4,10,1
14617_0,26,136,2,5,6,1
14618_0,19,128,2,7,3,2
14619_0,28,128,2,6,5,1
14620_0,19,128,2,9,3,2
14621_0,6,136,0,0,1,0
14622_0,43,136,2,4,7,1
14623_0,78,0,2,8,24,12
14624_0,30,136,2,4,4,1
14625_0,19,128,2,8,3,1
14627_0,37,128,0,5,7,1
14631_0,13,128,2,6,2,1
14634_0,7,136,0,0,1,0
14635_0,29,128,0,6,6,1
14636_0,18,128,2,7,3,1
14637_0,69,0,2,9,19,8
14639_0,39,128,2,5,10,2
14640_0,38,128,2,5,7,1
14641_0,92,8,97,4,50,9.5
14642_0,76,9,2,7,25,5
14643_0,77,8,2,8,27,11
14644_0,40,4,2,9,8,4
14645_0,36,128,0,5,9,1
14646_0,95,0,97,8,57,3
14647_0,24,128,2,6,4,1
14648_0,32,128,2,6,7,1
14649_0,57,136,2,5,13,2
14650_0,41,128,2,5,10,2
14651_0,17,128,0,8,3,1
14652_0,82,1,10,6,28,10.5
14653_0,9,136,2,5,2,1
14654_0,30,128,2,5,6,1
14655_0,16,136,0,8,2,1
14656_0,0,161,97,6,0,1
14657_0,32,128,2,6,7,2
14658_0,90,8,34,6,40,11
14659_0,38,136,2,4,6,1
14662_0,21,128,0,7,4,2
14663_0,38,136,0,6,7,1
14664_0,22,136,0,6,3,1
14665_0,45,128,2,4,8,1
14666_0,22,128,0,7,4,2
14668_0,11,128,0,6,2,1
14669_0,58,8,2,9,11,4
14670_0,32,128,2,6,6,1
14671_0,9,128,2,0,1,0
14672_0,74,1,2,8,21,6.5
14673_0,16,128,2,4,3,1
14674_0,22,128,2,8,3,1
14675_0,37,129,2,5,5,1
14676_0,83,0,2,7,31,12
14677_0,10,136,0,0,1,0
14678_0,1,160,97,5,0,1
14680_0,58,8,2,8,14,3
14681_0,24,128,2,5,4,1
14683_0,23,132,10,5,4,1
14684_0,42,128,0,5,10,2
14685_0,18,128,0,7,3,1
14686_0,50,128,0,4,12,2
14687_0,44,128,2,5,12,2
14688_0,39,128,2,5,7,1
14692_0,39,128,2,4,6,1
14693_0,39,136,2,5,8,2
14694_0,72,0,0,9,24,10
14695_0,34,136,2,6,6,1
14699_0,13,128,0,7,2,1
14700_0,24,136,2,0,3,0
14703_0,55,4,2,9,13,4
14704_0,54,128,2,4,13,1.5
14705_0,15,128,0,8,2,1
14706_0,17,136,8,5,3,1
14707_0,26,136,2,5,5,1
14708_0,0,160,97,0,0,0
14709_0,48,1,0,9,9,3
14711_0,31,128,2,5,6,1
14712_0,38,128,2,5,8,2
14713_0,21,160,2,8,3,1
14714_0,16,128,0,7,2,1
14716_0,90,0,32,6,40,12
14717_0,81,0,2,8,27,11
14719_0,89,8,34,7,46,5
14721_0,25,128,2,6,5,1
14722_0,19,128,2,1,3,0
14723_0,56,4,2,8,11,3
14724_0,10,136,0,5,2,1
14725_0,28,128,0,6,5,1
14726_0,47,0,0,9,9,2
14728_0,64,8,2,9,18,5
14729_0,10,128,0,5,2,1
14730_0,78,0,2,8,27,11
14731_0,27,128,0,5,5,1
14732_0,33,128,0,6,7,2
14733_0,51,8,2,9,11,4
14734_0,28,136,2,5,7,2
14735_0,63,0,2,9,16,4
14736_0,8,136,2,0,1,0
14737_0,56,128,0,4,15,2
14738_0,43,8,2,9,8,2
14739_0,39,129,0,4,9,1
14740_0,30,136,2,3,5,1
14742_0,10,128,0,5,2,1
14744_0,36,128,0,5,8,1
14746_0,33,128,2,6,6,1
14747_0,7,160,0,0,1,0
14751_0,83,0,8,7,29,12
14752_0,67,0,2,9.5,18,6
14754_0,61,5,2,9,13,5
14755_0,92,8,34,6.5,51,11
14756_0,22,136,8,4,3,1
14757_0,13,136,2,5,2,1
14758_0,77,0,2,8,25,11
14760_0,56,128,0,4,14,2
14761_0,79,0,2,8,27,11
14763_0,92,8,97,6,50,8
14764_0,50,128,0,4,13,2
14765_0,17,128,0,9,2,1
14768_0,17,136,2,5,3,1
14769_0,12,128,2,6,2,1
14770_0,40,128,0,5,9,2
14771_0,36,136,2,5,7,1
14772_0,38,128,2,5,7,2
14773_0,35,128,0,6,7,1
14774_0,10,136,0,0,1,0
14775_0,66,8,2,9,17,5
14777_0,38,128,2,6,7,1
14778_0,38,128,0,5,10,2
14779_0,11,160,0,6,2,1
14780_0,39,8,0,8,7,2
14783_0,62,0,0,9,16,4.5
14786_0,32,128,2,6,7,1
14787_0,36,130,2,4,7,1
14788_0,17,128,0,5,3,1
14789_0,14,128,0,7,2,1
14791_0,9,136,0,0,1,0
14792_0,11,128,0,6,2,1
14793_0,37,129,0,5,7,1
14794_0,9,136,2,0,1,0
14795_0,32,136,2,4,5,1
14796_0,84,0,8,7,36,12
14797_0,93,8,97,8.5,52,9
14798_0,33,129,2,5,7,1
14799_0,43,128,0,4,10,1
14800_0,17,128,0,8,3,1
14802_0,12,128,2,7,2,1
14803_0,31,128,2,4,7,1
14804_0,14,128,0,7,2,1
