system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,BurnMonth
54454_0,287,175.5,190,3,4,9
54686_0,282,175.5,190,3,2,9
54870_0,341,175,190,3,4,11
55006_0,282,175.5,190,3,2,9
55079_0,193,177,189,3,2,6
55187_0,193,174.5,189.5,3,5,6
55276_0,248,179,220,3,7,8
55427_0,282,176.5,190,3,1,9
55432_0,200,176,190,3,2,6
55495_0,252,177,190,3,1,8
55517_0,200,176,190,3,2,6
55717_0,243,177.5,190,3,5,7
55806_0,341,178.5,187,3,1,11
55891_0,200,176.5,190,3,2,6
56228_0,191,175.5,189.5,3,3,6
56402_0,283,175.5,190,3,4,9
56408_0,345,174.5,190,3,8,11
56439_0,285,175,190,3,3,9
56777_0,196,176,190,3,4,6
57144_0,246,177,217.5,3,11,8
57350_0,230,177.5,190,3,1,7
57433_0,246,205.5,250.5,3,7,8
57488_0,287,176,190,3,1,9
57489_0,243,177,190,3,1,7
57559_0,249,178.5,190,3,5,8
57579_0,344,174.5,190,3,4,11
57708_0,340,176.5,189.5,3,4,11
57834_0,194,174.5,189.5,3,3,6
57982_0,212,177.5,188,3,6,6
57996_0,287,176,190,3,1,9
58020_0,184,174.5,190,3,2,6
58127_0,342,174.5,189.5,3,3,11
58286_0,282,175.5,190,3,2,9
58463_0,341,175,190,3,2,11
58535_0,214,177.5,190,3,2,7
58599_0,183,176,188.5,3,3,6
58610_0,198,175.5,190,3,2,6
58616_0,248,176.5,190,3,14,8
58634_0,343,174.5,190,3,5,11
58653_0,193,175.5,189,3,2,6
58696_0,212,177.5,188.5,3,6,6
58714_0,165,174.5,190,3,2,5
58740_0,339,175,190,3,2,11
58763_0,279,175,189.5,3,1,9
58840_0,287,175.5,189,3,5,9
59103_0,341,175,189,3,1,11
59127_0,342,178,187,3,7,11
59177_0,348,174.5,189,3,3,11
59185_0,197,175,190,3,5,6
59352_0,212,177,189.5,3,2,6
59537_0,200,176,190,3,2,6
59671_0,208,176.5,189.5,3,1,6
59684_0,57,174.5,190,3,1,1
59832_0,282,175.5,190,3,2,9
59964_0,345,174.5,190,3,3,11
60236_0,246,177.5,190,3,9,8
60259_0,282,175.5,190,3,2,9
60375_0,339,175,190,3,2,11
60504_0,191,175.5,190,3,3,6
60583_0,246,178,190,3,6,8
60595_0,244,177.5,190,3,16,8
60633_0,242,177,190,3,4,7
60726_0,248,179,190,3,9,8
61097_0,343,174.5,190,3,5,11
61238_0,230,175.5,190,3,5,7
61324_0,231,177.5,189.5,3,6,7
61356_0,210,177,189.5,3,1,6
61390_0,344,174.5,190,3,3,11
61423_0,285,176,190,3,1,9
61533_0,236,175.5,190,3,3,7
61550_0,195,175.5,189,3,2,6
61656_0,243,175,189.5,3,1,7
61673_0,347,174.5,189.5,3,7,11
61727_0,208,177,189.5,3,1,6
61733_0,248,177,190,3,3,8
61942_0,282,175.5,190,3,2,9
61964_0,248,175,190,3,5,8
62064_0,285,176,190,3,1,9
62135_0,343,174.5,190,3,4,11
62166_0,348,174.5,189,3,3,11
62200_0,282,176,190,3,2,9
62220_0,189,176,188.5,3,1,6
62415_0,283,175.5,190,3,4,9
62619_0,118,175.5,190,3,1,3
62640_0,140,174.5,189.5,3,1,4
62818_0,189,175,190,3,2,6
62858_0,344,175,190,3,6,11
62912_0,339,176.5,189.5,3,2,11
63055_0,287,176,190,3,2,9
63076_0,289,175.5,190,3,5,9
63108_0,210,177,189,3,1,6
63110_0,236,177.5,212.5,3,15,7
63145_0,232,176.5,189.5,3,11,7
63254_0,340,177,189,3,3,11
63581_0,344,177,190,3,6,11
63689_0,353,175,189.5,3,1,11
63772_0,344,177,190,3,5,11
64049_0,191,174.5,189.5,3,2,6
64104_0,246,176.5,190,3,7,8
64147_0,281,176,190,3,1,9
64169_0,180,179,188.5,3,2,5
64213_0,234,177,190,3,4,7
64292_0,190,177,190,3,3,6
64662_0,287,176,190,3,1,9
64687_0,284,176,190,3,3,9
64795_0,242,175.5,189.5,3,3,7
64833_0,101,176,189,3,1,3
64837_0,190,177,190,3,3,6
65123_0,343,174.5,190,3,4,11
65388_0,340,175,189.5,3,3,11
65564_0,252,177.5,189.5,3,1,8
65652_0,282,176,189,3,2,9
65695_0,340,174.5,189.5,3,2,11
65727_0,281,175.5,190,3,1,9
65899_0,344,174.5,189,3,3,11
65905_0,300,175,189.5,3,3,9
65909_0,285,175,190,3,1,9
65910_0,240,177,212,3,23,7
65934_0,343,174.5,190,3,4,11
65975_0,235,177,213.5,3,1,7
66101_0,282,176,190,3,2,9
66152_0,200,175.5,190,3,2,6
66261_0,210,177.5,189.5,3,1,6
66335_0,140,176.5,190,3,2,4
66540_0,339,175,189,3,1,11
66675_0,242,175,190,3,1,7
66692_0,340,175,190,3,3,11
66739_0,246,176.5,189,3,4,8
66826_0,247,177,220,3,5,8
66832_0,340,176.5,189.5,3,3,11
66876_0,284,175.5,190,3,3,9
66953_0,282,175.5,190,3,2,9
66979_0,201,174.5,189.5,3,1,6
66992_0,344,174.5,189.5,3,4,11
67007_0,199,175.5,190,3,2,6
67015_0,199,175.5,190,3,2,6
67106_0,282,175.5,190,3,2,9
67108_0,290,174.5,190,3,2,9
67149_0,339,175,189.5,3,2,11
67220_0,190,176.5,190,3,5,6
67398_0,345,177.5,190,3,8,11
67407_0,339,175,190,3,1,11
67660_0,244,179,190,3,14,8
67663_0,212,177,190,3,1,6
67699_0,190,176,190,3,4,6
67824_0,283,176,190,3,1,9
67912_0,339,178,188,3,2,11
68062_0,344,174.5,190,3,4,11
68332_0,344,174.5,190,3,5,11
68408_0,246,176.5,190,3,11,8
68485_0,344,174.5,190,3,5,11
68568_0,199,175.5,190,3,2,6
68617_0,282,176,190,3,2,9
68633_0,198,175.5,190,3,2,6
68637_0,245,177.5,189.5,3,8,8
68680_0,193,174.5,189.5,3,5,6
68847_0,284,177,190,3,4,9
68963_0,287,190,236,3,2,9
69029_0,351,174.5,190,3,5,11
69053_0,344,176.5,189.5,3,6,11
69094_0,284,175,190,3,4,9
69173_0,229,175.5,189.5,3,1,7
69196_0,334,175,190,3,1,10
69337_0,249,177,189,3,1,8
69358_0,200,176,190,3,2,6
69681_0,200,175.5,190,3,2,6
69818_0,340,175,190,3,3,11
